Timestamp,CPU_Total%,GPU_Total%,RAM_Used_GB,RAM_Total_GB,Power_Total_mW,Temp_GPU_C,Temp_CPU_C
23:42:57,0.0,24.7,0.00,0.00,0,0,0
23:42:58,0.0,10.1,0.00,0.00,0,0,0
23:42:59,0.0,35.2,0.00,0.00,0,0,0
23:43:00,0.0,53.5,0.00,0.00,0,0,0
23:43:01,0.0,66.6,0.00,0.00,0,0,0
23:43:02,0.0,28.9,0.00,0.00,0,0,0
23:43:03,0.0,5.1,0.00,0.00,0,0,0
23:43:04,0.0,35.1,0.00,0.00,0,0,0
23:43:05,0.0,11.4,0.00,0.00,0,0,0
23:43:06,0.0,38.7,0.00,0.00,0,0,0
23:43:07,0.0,76.7,0.00,0.00,0,0,0
23:43:08,0.0,47.2,0.00,0.00,0,0,0
23:43:09,0.0,22.6,0.00,0.00,0,0,0
23:43:10,0.0,52.0,0.00,0.00,0,0,0
23:43:11,0.0,9.7,0.00,0.00,0,0,0
23:43:12,0.0,18.2,0.00,0.00,0,0,0
23:43:13,0.0,55.9,0.00,0.00,0,0,0
23:43:14,0.0,62.4,0.00,0.00,0,0,0
23:43:15,0.0,55.0,0.00,0.00,0,0,0
23:43:16,0.0,63.4,0.00,0.00,0,0,0
23:43:17,0.0,19.5,0.00,0.00,0,0,0
23:43:18,0.0,5.6,0.00,0.00,0,0,0
23:43:19,0.0,50.1,0.00,0.00,0,0,0
23:43:20,0.0,25.7,0.00,0.00,0,0,0
23:43:21,0.0,66.7,0.00,0.00,0,0,0
23:43:22,0.0,68.6,0.00,0.00,0,0,0
23:43:23,0.0,26.1,0.00,0.00,0,0,0
23:43:24,0.0,19.4,0.00,0.00,0,0,0
23:43:25,0.0,26.2,0.00,0.00,0,0,0
23:43:26,0.0,0.0,0.00,0.00,0,0,0
23:43:27,0.0,0.0,0.00,0.00,0,0,0
23:43:28,0.0,0.0,0.00,0.00,0,0,0
23:43:29,0.0,42.1,0.00,0.00,0,0,0
23:43:30,0.0,65.5,0.00,0.00,0,0,0
23:43:31,0.0,41.7,0.00,0.00,0,0,0
23:43:32,0.0,4.7,0.00,0.00,0,0,0
23:43:33,0.0,49.3,0.00,0.00,0,0,0
23:43:34,0.0,77.8,0.00,0.00,0,0,0
23:43:35,0.0,49.1,0.00,0.00,0,0,0
23:43:36,0.0,70.8,0.00,0.00,0,0,0
23:43:37,0.0,45.5,0.00,0.00,0,0,0
23:43:38,0.0,2.2,0.00,0.00,0,0,0
23:43:39,0.0,28.0,0.00,0.00,0,0,0
23:43:40,0.0,2.2,0.00,0.00,0,0,0
23:43:41,0.0,46.4,0.00,0.00,0,0,0
23:43:42,0.0,76.1,0.00,0.00,0,0,0
23:43:43,0.0,48.0,0.00,0.00,0,0,0
23:43:44,0.0,76.6,0.00,0.00,0,0,0
23:43:45,0.0,34.8,0.00,0.00,0,0,0
